PRODUCT_CODE,PRODUCT_NAME,PRODUCT_PRICE,DISCOUNT_PRICE,DISCOUNT_RATE,PRODUCT_LINK
120,MISSHA Twin Brow Kit Gray Brown,12.66,4.56,64% OFF,https://jolse.com/product/missha-twin-brow-kit-gray-brown/12849/category/4722/display/1/
121,[1+1] TFIT Cover Up Pro Concealer 15g,28.00,19.60,30% OFF,https://jolse.com/product/11-tfit-cover-up-pro-concealer-15g/84291/category/4722/display/1/
122,Yepre Pretty Water Velvet Lasting Tint 2.6g,24.00,20.40,15% OFF,https://jolse.com/product/yepre-pretty-water-velvet-lasting-tint-26g/83490/category/4722/display/1/
123,BRAYE LIPSLEEK BLUR 3.2g,21.50,15.05,30% OFF,https://jolse.com/product/braye-lipsleek-blur-32g/83475/category/4722/display/1/
124,CORALHAZE Silky Glow Tone-up Base 30ml,25.00,10.49,58% OFF,https://jolse.com/product/coralhaze-silky-glow-tone-up-base-30ml/83090/category/4722/display/1/
125,ETUDE Look At My Eyes 2g,5.50,4.67,15% OFF,https://jolse.com/product/etude-look-at-my-eyes-2g/82934/category/4722/display/1/
126,Dr.Ceuracle Vegan Active Berry Lip Oil 4.5ml,16.00,6.99,56% OFF,https://jolse.com/product/drceuracle-vegan-active-berry-lip-oil-45ml/82474/category/4722/display/1/
127,hince True Dimension Layering Cheek 9.3g,29.00,16.49,43% OFF,https://jolse.com/product/hince-true-dimension-layering-cheek-93g/82335/category/4722/display/1/
128,hince Second Skin Foundation 40ml,36.00,19.49,46% OFF,https://jolse.com/product/hince-second-skin-foundation-40ml/82325/category/4722/display/1/
129,Milk Touch All-day Skin Fit Milky Glow Cushion 15g,27.00,20.25,25% OFF,https://jolse.com/product/milk-touch-all-day-skin-fit-milky-glow-cushion-15g/81763/category/4722/display/1/
130,hince New Depth Eyeshadow 3g,18.00,15.30,15% OFF,https://jolse.com/product/hince-new-depth-eyeshadow-3g/81613/category/4722/display/1/
131,Peripera Water Bare Tint,12.00,10.20,15% OFF,https://jolse.com/product/peripera-water-bare-tint/79764/category/4722/display/1/
132,fwee More Mood Eyeshadow Palette,32.00,25.60,20% OFF,https://jolse.com/product/fwee-more-mood-eyeshadow-palette/78720/category/4722/display/1/
133,NEOGEN Dermalogy Extra Slim Metal Maxicara SET 6ml + refill #Black,48.00,38.40,20% OFF,https://jolse.com/product/neogen-dermalogy-extra-slim-metal-maxicara-set-6ml-refill-black/78633/category/4722/display/1/
134,rom&nd Glasting Color Gloss 4g,13.99,0,0,https://jolse.com/product/romnd-glasting-color-gloss-4g/76549/category/4722/display/1/
135,MISSHA Layering Fit Cushion Semi Matte 14g,30.00,14.40,52% OFF,https://jolse.com/product/missha-layering-fit-cushion-semi-matte-14g/76538/category/4722/display/1/
136,moonshot Conscious Fit Matte Cushion Foundation 12g,21.50,18.27,15% OFF,https://jolse.com/product/moonshot-conscious-fit-matte-cushion-foundation-12g/76258/category/4722/display/1/
137,ETUDE Sebum soak Pact 9.5g,14.00,11.90,15% OFF,https://jolse.com/product/etude-sebum-soak-pact-95g/75897/category/4722/display/1/
138,ETUDE Dr.Mascara Fixer For Perfect Lash 6g,7.20,6.12,15% OFF,https://jolse.com/product/etude-drmascara-fixer-for-perfect-lash-6g/75696/category/4722/display/1/
